lang_tag,chrf,bleu,status
af,7.64186,0.00827,ok
am,0.55795,0.00738,ok
ar,0.21552,0.00000,ok
ast,6.50492,0.00954,ok
az,5.83084,0.01122,ok
ba,0.08306,0.00000,ok
be,0.17550,0.00000,ok
bg,0.19233,0.00000,ok
bn,0.19510,0.00000,ok
br,1.42228,0.00000,ok
bs,7.05031,0.01265,ok
ca,6.53927,0.00803,ok
ceb,6.83927,0.00833,ok
cs,6.59945,0.00708,ok
cy,5.18029,0.00551,ok
da,6.66419,0.00930,ok
de,7.23744,0.00909,ok
el,0.47733,0.00676,ok
es,6.99252,0.00960,ok
et,7.13847,0.00000,ok
fa,0.19096,0.00000,ok
ff,1.80146,0.00000,ok
fi,7.07564,0.00821,ok
fr,6.82394,0.00840,ok
fy,6.89231,0.00872,ok
ga,5.93779,0.00000,ok
gd,5.91064,0.00977,ok
gl,6.59197,0.01050,ok
gu,0.51803,0.00000,ok
ha,4.91139,0.00965,ok
he,0.17933,0.00000,ok
hi,0.13470,0.00000,ok
hr,7.05387,0.01174,ok
ht,6.34448,0.00695,ok
hu,7.08940,0.00757,ok
hy,0.76874,0.00741,ok
id,7.94357,0.01044,ok
ig,5.21609,0.00728,ok
ilo,7.00156,0.00995,ok
is,6.51290,0.00985,ok
it,7.37629,0.00899,ok
ja,0.12037,0.00000,ok
jv,7.23631,0.01118,ok
ka,0.71420,0.00000,ok
kk,0.05823,0.00000,ok
km,0.44676,0.00906,ok
kn,0.16903,0.00391,ok
ko,0.36940,0.00855,ok
lb,6.56768,0.00950,ok
lg,2.11545,0.00000,ok
ln,3.13060,0.00683,ok
lo,0.79917,0.01556,ok
lt,6.70203,0.00740,ok
lv,6.33755,0.00825,ok
mg,8.04924,0.01009,ok
mk,0.08799,0.00000,ok
ml,0.51467,0.01092,ok
mn,0.69747,0.00820,ok
mr,0.17498,0.00000,ok
ms,7.97541,0.01025,ok
my,0.48470,0.01241,ok
ne,0.07644,0.00000,ok
nl,7.41977,0.00879,ok
no,6.54378,0.01018,ok
ns,3.69931,0.00408,ok
oc,6.09419,0.00889,ok
or,2.58124,0.00000,ok
pa,0.61286,0.00291,ok
pl,7.30893,0.00977,ok
ps,0.38018,0.00465,ok
pt,6.57549,0.01168,ok
ro,6.23775,0.00958,ok
ru,0.09522,0.00000,ok
sd,0.21665,0.00000,ok
si,0.54229,0.00000,ok
sk,6.80142,0.00699,ok
sl,7.12549,0.01181,ok
so,4.72741,0.00328,ok
sq,6.95583,0.00798,ok
sr,1.51209,0.00999,ok
ss,3.85280,0.01092,ok
su,7.39289,0.01071,ok
sv,6.92111,0.00939,ok
sw,7.71882,0.01160,ok
ta,0.70765,0.00855,ok
th,0.73428,0.00689,ok
tl,7.68915,0.00916,ok
tn,3.14846,0.00483,ok
tr,6.73971,0.01145,ok
uk,0.13396,0.00000,ok
ur,0.22208,0.00541,ok
uz,4.44884,0.00708,ok
vi,5.74984,0.00781,ok
wo,2.18931,0.00000,ok
xh,5.94358,0.00000,ok
yi,0.52266,0.00000,ok
yo,5.86260,0.00548,ok
zh,0.31861,0.00000,ok
zu,6.63890,0.01085,ok
