lang,chrF,BLEU
ace_Arab,0.46,0.00
ace_Latn,7.79,0.00
acm_Arab,0.09,0.00
acq_Arab,0.04,0.00
aeb_Arab,0.09,0.00
afr_Latn,7.74,0.00
ajp_Arab,0.02,0.00
aka_Latn,6.36,0.00
amh_Ethi,0.02,0.00
apc_Arab,0.06,0.00
arb_Arab,0.05,0.00
ars_Arab,0.03,0.00
ary_Arab,0.10,0.00
arz_Arab,0.04,0.00
asm_Beng,0.01,0.00
ast_Latn,6.31,0.00
awa_Deva,0.10,0.00
ayr_Latn,5.97,0.00
azb_Arab,0.05,0.00
azj_Latn,6.26,0.00
bak_Cyrl,0.01,0.00
bam_Latn,6.15,0.00
ban_Latn,7.80,0.00
bel_Cyrl,0.08,0.00
bem_Latn,7.48,0.00
ben_Beng,0.09,0.00
bho_Deva,0.10,0.00
bjn_Arab,0.39,0.00
bjn_Latn,7.73,0.00
bod_Tibt,0.27,0.00
bos_Latn,6.94,0.00
bug_Latn,7.20,0.00
bul_Cyrl,0.10,0.00
cat_Latn,6.51,0.00
ceb_Latn,8.29,0.00
ces_Latn,6.70,0.00
cjk_Latn,7.61,0.00
ckb_Arab,0.04,0.00
crh_Latn,6.24,0.00
cym_Latn,7.30,0.00
dan_Latn,6.58,0.00
deu_Latn,7.33,0.00
dik_Latn,4.95,0.00
dyu_Latn,5.99,0.00
dzo_Tibt,0.47,0.00
ell_Grek,0.20,0.00
epo_Latn,7.19,0.00
est_Latn,7.04,0.00
eus_Latn,7.43,0.00
ewe_Latn,6.00,0.00
fao_Latn,6.99,0.00
pes_Arab,0.05,0.00
fij_Latn,7.16,0.00
fin_Latn,7.03,0.00
fon_Latn,4.92,0.00
fra_Latn,6.79,0.00
fur_Latn,7.04,0.00
fuv_Latn,6.64,0.00
gla_Latn,8.73,0.00
gle_Latn,9.06,0.00
glg_Latn,6.63,0.00
grn_Latn,6.23,0.00
guj_Gujr,0.09,0.00
hat_Latn,6.57,0.00
hau_Latn,7.36,0.00
heb_Hebr,0.02,0.00
hin_Deva,0.13,0.00
hne_Deva,0.04,0.00
hrv_Latn,6.95,0.00
hun_Latn,6.98,0.00
hye_Armn,0.14,0.00
ibo_Latn,6.43,0.00
ilo_Latn,8.22,0.00
ind_Latn,8.00,0.00
isl_Latn,6.54,0.00
ita_Latn,7.22,0.00
jav_Latn,7.87,0.00
jpn_Jpan,0.08,0.00
kab_Latn,6.43,0.00
kac_Latn,8.15,0.00
kam_Latn,6.29,0.00
kan_Knda,0.02,0.00
kas_Arab,0.08,0.00
kas_Deva,0.02,0.00
kat_Geor,0.19,0.00
knc_Arab,0.03,0.00
knc_Latn,4.24,0.00
kaz_Cyrl,0.14,0.00
kbp_Latn,4.69,0.00
kea_Latn,6.84,0.00
khm_Khmr,0.68,0.00
kik_Latn,6.72,0.00
kin_Latn,7.46,0.00
kir_Cyrl,0.12,0.00
kmb_Latn,7.44,0.00
kon_Latn,7.70,0.00
kor_Hang,0.09,0.00
kmr_Latn,6.59,0.00
lao_Laoo,0.83,0.00
lvs_Latn,6.25,0.00
lij_Latn,6.60,0.00
lim_Latn,6.86,0.00
lin_Latn,7.85,0.00
lit_Latn,6.56,0.00
lmo_Latn,6.69,0.00
ltg_Latn,6.12,0.00
ltz_Latn,7.27,0.00
lua_Latn,6.78,0.00
lug_Latn,7.07,0.00
luo_Latn,7.47,0.00
lus_Latn,7.45,0.00
mag_Deva,0.07,0.00
mai_Deva,0.06,0.00
mal_Mlym,0.00,0.00
mar_Deva,0.02,0.00
min_Latn,7.95,0.00
mkd_Cyrl,0.04,0.00
plt_Latn,8.22,0.00
mlt_Latn,6.93,0.00
mni_Beng,0.02,0.00
khk_Cyrl,0.17,0.00
mos_Latn,6.15,0.00
mri_Latn,7.02,0.00
zsm_Latn,8.01,0.00
mya_Mymr,0.78,0.00
nld_Latn,7.42,0.00
nno_Latn,6.79,0.00
nob_Latn,6.54,0.00
npi_Deva,0.18,0.00
nso_Latn,7.29,0.00
nus_Latn,5.20,0.00
nya_Latn,8.22,0.00
oci_Latn,6.37,0.00
gaz_Latn,8.16,0.00
ory_Orya,0.01,0.00
pag_Latn,7.71,0.00
pan_Guru,0.02,0.00
pap_Latn,7.51,0.00
pol_Latn,7.30,0.00
por_Latn,6.64,0.00
prs_Arab,0.11,0.00
pbt_Arab,0.04,0.00
quy_Latn,6.16,0.00
ron_Latn,6.16,0.00
run_Latn,7.40,0.00
rus_Cyrl,0.06,0.00
sag_Latn,7.96,0.00
san_Deva,0.02,0.00
sat_Beng,0.39,0.00
scn_Latn,6.66,0.00
shn_Mymr,0.62,0.00
sin_Sinh,0.04,0.00
slk_Latn,6.82,0.00
slv_Latn,6.94,0.00
smo_Latn,6.57,0.00
sna_Latn,7.51,0.00
snd_Arab,0.32,0.00
som_Latn,8.68,0.00
sot_Latn,7.50,0.00
