lang,chrF,BLEU
ace_Arab,0.46056,0.00597
ace_Latn,7.70512,0.00971
acm_Arab,0.08612,0.00932
acq_Arab,0.03518,0.00000
aeb_Arab,0.08909,0.00922
afr_Latn,7.59413,0.00890
ajp_Arab,0.01800,0.00000
aka_Latn,6.32638,0.01134
amh_Ethi,0.02492,0.00000
apc_Arab,0.06279,0.00000
arb_Arab,0.05018,0.00000
ars_Arab,0.02970,0.00000
ary_Arab,0.09638,0.00933
arz_Arab,0.03891,0.00000
asm_Beng,0.00924,0.00000
ast_Latn,6.21470,0.00811
awa_Deva,0.10436,0.00000
ayr_Latn,5.89681,0.01328
azb_Arab,0.05081,0.00844
azj_Latn,6.12012,0.01303
bak_Cyrl,0.00934,0.00000
bam_Latn,6.06114,0.00785
ban_Latn,7.70514,0.01123
bel_Cyrl,0.08220,0.00000
bem_Latn,7.37202,0.01269
ben_Beng,0.08707,0.00000
bho_Deva,0.09970,0.00000
bjn_Arab,0.38597,0.00579
bjn_Latn,7.58376,0.01073
bod_Tibt,0.26592,0.00000
bos_Latn,6.85152,0.01281
bug_Latn,7.11582,0.01123
bul_Cyrl,0.09872,0.00707
cat_Latn,6.39646,0.00897
ceb_Latn,8.16645,0.00952
ces_Latn,6.60371,0.00736
cjk_Latn,7.49412,0.00932
ckb_Arab,0.04211,0.00000
crh_Latn,6.12987,0.00969
cym_Latn,7.19495,0.00942
dan_Latn,6.45844,0.01068
deu_Latn,7.19579,0.00988
dik_Latn,4.86864,0.00892
dyu_Latn,5.92016,0.00820
dzo_Tibt,0.46620,0.01365
ell_Grek,0.19971,0.00701
epo_Latn,7.11544,0.01006
est_Latn,6.94366,0.00000
eus_Latn,7.30769,0.01242
ewe_Latn,5.90388,0.01056
fao_Latn,6.88742,0.00960
pes_Arab,0.04623,0.00000
fij_Latn,7.07985,0.00859
fin_Latn,6.90747,0.00914
fon_Latn,4.83313,0.00699
fra_Latn,6.64335,0.00857
fur_Latn,6.88985,0.00800
fuv_Latn,6.52558,0.01127
gla_Latn,8.61727,0.00806
gle_Latn,8.94763,0.00961
glg_Latn,6.51816,0.01160
grn_Latn,6.11545,0.01013
guj_Gujr,0.09510,0.00000
hat_Latn,6.47238,0.00808
hau_Latn,7.21716,0.01487
heb_Hebr,0.02308,0.00000
hin_Deva,0.12536,0.00000
hne_Deva,0.03774,0.00000
hrv_Latn,6.85203,0.01143
hun_Latn,6.88455,0.00946
hye_Armn,0.14187,0.00000
ibo_Latn,6.35710,0.00950
ilo_Latn,8.08424,0.01028
ind_Latn,7.85622,0.01125
isl_Latn,6.46629,0.01045
ita_Latn,7.08996,0.00976
jav_Latn,7.73612,0.01144
jpn_Jpan,0.07967,0.00000
kab_Latn,6.32189,0.01208
kac_Latn,7.97656,0.00803
kam_Latn,6.20681,0.01148
kan_Knda,0.01750,0.00000
kas_Arab,0.07926,0.00554
kas_Deva,0.02311,0.00000
kat_Geor,0.18494,0.00000
knc_Arab,0.03057,0.00000
knc_Latn,4.18185,0.00426
kaz_Cyrl,0.13570,0.00861
kbp_Latn,4.63469,0.00933
kea_Latn,6.75786,0.00879
khm_Khmr,0.67215,0.00532
kik_Latn,6.58851,0.01198
kin_Latn,7.37296,0.01314
kir_Cyrl,0.11734,0.00000
kmb_Latn,7.30168,0.00874
kon_Latn,7.57084,0.00852
kor_Hang,0.08987,0.00000
kmr_Latn,6.51916,0.00920
lao_Laoo,0.82821,0.01612
lvs_Latn,6.17081,0.00876
lij_Latn,6.47303,0.00751
lim_Latn,6.76988,0.01006
lin_Latn,7.71526,0.00955
lit_Latn,6.49076,0.00774
lmo_Latn,6.57454,0.00918
ltg_Latn,6.04290,0.00000
ltz_Latn,7.12783,0.00913
lua_Latn,6.73647,0.00895
lug_Latn,6.94433,0.01259
luo_Latn,7.38291,0.01138
lus_Latn,7.32624,0.00945
mag_Deva,0.06997,0.00000
mai_Deva,0.05976,0.00000
mal_Mlym,0.00000,0.00000
mar_Deva,0.02187,0.00000
min_Latn,7.83702,0.01029
mkd_Cyrl,0.04317,0.00731
plt_Latn,8.10766,0.01014
mlt_Latn,6.85111,0.00958
mni_Beng,0.01652,0.00000
khk_Cyrl,0.16996,0.00000
mos_Latn,6.07713,0.01168
mri_Latn,6.91274,0.00706
zsm_Latn,7.84882,0.01104
mya_Mymr,0.77981,0.01799
nld_Latn,7.31193,0.00964
nno_Latn,6.67849,0.01023
nob_Latn,6.43142,0.01076
npi_Deva,0.17727,0.00855
nso_Latn,7.17727,0.00774
nus_Latn,5.14104,0.00768
nya_Latn,8.08287,0.01484
oci_Latn,6.27577,0.00983
gaz_Latn,8.08625,0.00000
ory_Orya,0.01117,0.00000
pag_Latn,7.59928,0.01192
pan_Guru,0.02401,0.00000
pap_Latn,7.39225,0.00883
pol_Latn,7.19730,0.01125
por_Latn,6.52919,0.01272
prs_Arab,0.11033,0.00000
pbt_Arab,0.03921,0.00000
quy_Latn,6.10775,0.01250
ron_Latn,6.06157,0.01091
run_Latn,7.29341,0.01324
rus_Cyrl,0.05870,0.00000
sag_Latn,7.80472,0.00765
san_Deva,0.02492,0.00000
sat_Beng,0.36488,0.00315
scn_Latn,6.56807,0.00985
shn_Mymr,0.61620,0.01401
sin_Sinh,0.03706,0.00000
slk_Latn,6.73614,0.00723
slv_Latn,6.80682,0.01099
smo_Latn,6.48840,0.00684
sna_Latn,7.38290,0.00952
snd_Arab,0.31718,0.00695
som_Latn,8.52258,0.01029
sot_Latn,7.36183,0.00806
spa_Latn,6.93391,0.01025
als_Latn,6.95608,0.00896
srd_Latn,7.10892,0.00856
srp_Cyrl,0.01953,0.00000
ssw_Latn,7.79829,0.00000
sun_Latn,7.88674,0.01122
swe_Latn,6.73038,0.01041
swh_Latn,7.72216,0.01310
szl_Latn,6.99379,0.00985
tam_Taml,0.09559,0.00875
tat_Cyrl,0.01861,0.00000
tel_Telu,0.11088,0.00999
tgk_Cyrl,0.12249,0.00000
tgl_Latn,7.87393,0.00931
tha_Thai,0.19884,0.00000
tir_Ethi,0.01822,0.00000
taq_Latn,5.60219,0.00534
taq_Tfng,0.01308,0.00000
tpi_Latn,7.78372,0.00846
tsn_Latn,7.50712,0.00750
tso_Latn,8.27275,0.00782
tuk_Latn,6.67056,0.01042
tum_Latn,7.25596,0.01380
tur_Latn,6.47678,0.01423
twi_Latn,6.23458,0.01181
tzm_Tfng,0.00000,0.00000
uig_Arab,0.06436,0.00000
ukr_Cyrl,0.05514,0.00718
umb_Latn,6.74261,0.00985
urd_Arab,0.15959,0.00000
uzn_Latn,8.74090,0.00839
vec_Latn,6.84460,0.00880
vie_Latn,5.75067,0.00815
war_Latn,8.38893,0.00944
wol_Latn,6.14949,0.00910
xho_Latn,8.06862,0.00000
ydd_Hebr,0.09723,0.00576
yor_Latn,5.75680,0.00882
yue_Hant,0.25993,0.00966
zho_Hans,0.08615,0.00000
zho_Hant,0.11917,0.00000
zul_Latn,8.27086,0.00000
